source_system,record_type,import_run,import_state,run_provenance,error_message,raw_payload,startup_name,startup_headquarters_location,title,department,location,remote_type,seniority,posted_date,url,active
linkedin,job_posting,fallback-sample-linkedin-job-postings,pending,fallback,,"{""synthetic"":true,""data"":{""elements"":[{""id"":""6104701"",""title"":""Senior Robotics Software Engineer"",""description"":""Own the motion planning stack for autonomous inspection platforms."",""jobFunction"":""eng"",""location"":{""name"":""Boston, MA""},""workplaceType"":""HYBRID"",""experienceLevel"":""MID_SENIOR_LEVEL"",""postedAt"":""2026-07-21"",""applyUrl"":""https://jobs.example.com/postings/beacon-hill-robotics/senior-robotics-software-engineer"",""jobState"":""LISTED"",""companyName"":""Beacon Hill Robotics"",""companyLocation"":""Boston, MA""}],""paging"":{""count"":1}}}",Beacon Hill Robotics,"Boston, MA",Senior Robotics Software Engineer,Engineering,"Boston, MA",Hybrid,Senior,2026-07-21,https://jobs.example.com/postings/beacon-hill-robotics/senior-robotics-software-engineer,true
linkedin,job_posting,fallback-sample-linkedin-job-postings,pending,fallback,,"{""synthetic"":true,""data"":{""elements"":[{""id"":""6104702"",""title"":""Embedded Firmware Engineer"",""description"":""Firmware for sensor payloads on autonomous inspection robots."",""jobFunction"":""eng"",""location"":{""name"":""Somerville, MA""},""workplaceType"":""ON_SITE"",""experienceLevel"":""ASSOCIATE"",""postedAt"":""2026-07-06"",""applyUrl"":""https://jobs.example.com/postings/beacon-hill-robotics/embedded-firmware-engineer"",""jobState"":""LISTED"",""companyName"":""Beacon Hill Robotics"",""companyLocation"":""Boston, MA""}],""paging"":{""count"":1}}}",Beacon Hill Robotics,"Boston, MA",Embedded Firmware Engineer,Engineering,"Somerville, MA",Onsite,Mid,2026-07-06,https://jobs.example.com/postings/beacon-hill-robotics/embedded-firmware-engineer,true
linkedin,job_posting,fallback-sample-linkedin-job-postings,pending,fallback,,"{""synthetic"":true,""data"":{""elements"":[{""id"":""6104703"",""title"":""Field Operations Lead"",""jobFunction"":""prjm"",""location"":{""name"":""Cambridge, MA""},""workplaceType"":""ON_SITE"",""experienceLevel"":""DIRECTOR"",""postedAt"":""2026-06-18"",""applyUrl"":""https://jobs.example.com/postings/beacon-hill-robotics/field-operations-lead"",""jobState"":""LISTED"",""companyName"":""Beacon Hill Robotics"",""companyLocation"":""Boston, MA""}],""paging"":{""count"":1}}}",Beacon Hill Robotics,"Boston, MA",Field Operations Lead,Operations,"Cambridge, MA",Onsite,Lead,2026-06-18,https://jobs.example.com/postings/beacon-hill-robotics/field-operations-lead,true
linkedin,job_posting,fallback-sample-linkedin-job-postings,pending,fallback,,"{""synthetic"":true,""data"":{""elements"":[{""id"":""6104704"",""title"":""Technical Product Manager"",""description"":""Define the roadmap for fleet telemetry and reporting."",""jobFunction"":""prdm"",""location"":{""name"":""New York, NY""},""workplaceType"":""REMOTE"",""experienceLevel"":""ASSOCIATE"",""postedAt"":""2026-06-02"",""applyUrl"":""https://jobs.example.com/postings/beacon-hill-robotics/technical-product-manager"",""jobState"":""LISTED"",""companyName"":""Beacon Hill Robotics"",""companyLocation"":""Boston, MA""}],""paging"":{""count"":1}}}",Beacon Hill Robotics,"Boston, MA",Technical Product Manager,Product,"New York, NY",Remote,Mid,2026-06-02,https://jobs.example.com/postings/beacon-hill-robotics/technical-product-manager,true
linkedin,job_posting,fallback-sample-linkedin-job-postings,pending,fallback,,"{""synthetic"":true,""data"":{""elements"":[{""id"":""6104705"",""title"":""Enterprise Account Executive, Northeast"",""description"":""Close treasury reconciliation deals with mid-market lenders."",""jobFunction"":""sale"",""location"":{""name"":""Boston, MA""},""workplaceType"":""HYBRID"",""experienceLevel"":""MID_SENIOR_LEVEL"",""postedAt"":""2026-05-19"",""applyUrl"":""https://jobs.example.com/postings/seaport-ledger/enterprise-account-executive-northeast"",""jobState"":""LISTED"",""companyName"":""Seaport Ledger"",""companyLocation"":""Seaport, Boston, MA""}],""paging"":{""count"":1}}}",Seaport Ledger,"Seaport, Boston, MA","Enterprise Account Executive, Northeast",Sales,"Boston, MA",Hybrid,Senior,2026-05-19,https://jobs.example.com/postings/seaport-ledger/enterprise-account-executive-northeast,true
linkedin,job_posting,fallback-sample-linkedin-job-postings,pending,fallback,,"{""synthetic"":true,""data"":{""elements"":[{""id"":""6104706"",""title"":"" Product Marketing Manager"",""jobFunction"":""mrkt"",""location"":{""name"":""Boston, MA""},""workplaceType"":""REMOTE"",""experienceLevel"":""ASSOCIATE"",""postedAt"":""2026-05-04"",""applyUrl"":""https://jobs.example.com/postings/seaport-ledger/product-marketing-manager"",""jobState"":""LISTED"",""companyName"":""Seaport Ledger"",""companyLocation"":""Seaport, Boston, MA""}],""paging"":{""count"":1}}}",Seaport Ledger,"Seaport, Boston, MA"," Product Marketing Manager",Marketing,"Boston, MA",Remote,Mid,2026-05-04,https://jobs.example.com/postings/seaport-ledger/product-marketing-manager,true
linkedin,job_posting,fallback-sample-linkedin-job-postings,pending,fallback,,"{""synthetic"":true,""data"":{""elements"":[{""id"":""6104707"",""title"":""Junior Research Engineer"",""description"":""Support evaluation harnesses for retrieval models."",""jobFunction"":""eng"",""location"":{""name"":""Cambridge, MA""},""workplaceType"":""HYBRID"",""experienceLevel"":""ENTRY_LEVEL"",""postedAt"":""2026-04-20"",""applyUrl"":""https://jobs.example.com/postings/kendall-cognition/junior-research-engineer"",""jobState"":""LISTED"",""companyName"":""Kendall Cognition "",""companyLocation"":""Kendall Square, Cambridge, MA""}],""paging"":{""count"":1}}}","Kendall Cognition ","Kendall Square, Cambridge, MA",Junior Research Engineer,Engineering,"Cambridge, MA",Hybrid,Entry,2026-04-20,https://jobs.example.com/postings/kendall-cognition/junior-research-engineer,true
linkedin,job_posting,fallback-sample-linkedin-job-postings,pending,fallback,,"{""synthetic"":true,""data"":{""elements"":[{""id"":""6104708"",""description"":""Platform engineering role on the model serving team."",""jobFunction"":""eng"",""location"":{""name"":""Boston, MA""},""workplaceType"":""ON_SITE"",""experienceLevel"":""MID_SENIOR_LEVEL"",""postedAt"":""2026-04-07"",""applyUrl"":""https://jobs.example.com/postings/kendall-cognition/6104708"",""jobState"":""LISTED"",""companyName"":""Kendall Cognition"",""companyLocation"":""Kendall Square, Cambridge, MA""}],""paging"":{""count"":1}}}",Kendall Cognition,"Kendall Square, Cambridge, MA",,Engineering,"Boston, MA",Onsite,Senior,2026-04-07,https://jobs.example.com/postings/kendall-cognition/6104708,true
linkedin,job_posting,fallback-sample-linkedin-job-postings,pending,fallback,,"{""synthetic"":true,""data"":{""elements"":[{""id"":""6104709"",""title"":""Chief Revenue Officer"",""description"":""Lead the commercial organisation across sales and partnerships."",""jobFunction"":""sale"",""location"":{""name"":""Boston, MA""},""workplaceType"":""HYBRID"",""experienceLevel"":""EXECUTIVE"",""postedAt"":""2026-03-24"",""applyUrl"":""https://jobs.example.com/postings/unlinked/chief-revenue-officer"",""jobState"":""LISTED""}],""paging"":{""count"":1}}}",,,Chief Revenue Officer,Sales,"Boston, MA",Hybrid,Executive,2026-03-24,https://jobs.example.com/postings/unlinked/chief-revenue-officer,true
linkedin,job_posting,fallback-sample-linkedin-job-postings,pending,fallback,,"{""synthetic"":true,""data"":{""elements"":[{""id"":""6104710"",""title"":""Customer Success Manager"",""description"":""Own renewals for utility and municipal accounts."",""jobFunction"":""Customer Success"",""workplaceType"":""REMOTE"",""experienceLevel"":""ASSOCIATE"",""postedAt"":""2026-03-10"",""applyUrl"":""https://jobs.example.com/postings/copley-grid-systems/customer-success-manager"",""jobState"":""CLOSED"",""companyName"":""Copley Grid Systems"",""companyLocation"":""BOSTON, MA""}],""paging"":{""count"":1}}}",Copley Grid Systems,"BOSTON, MA",Customer Success Manager,Customer Success,,Remote,Mid,2026-03-10,https://jobs.example.com/postings/copley-grid-systems/customer-success-manager,false
