source_system,record_type,import_run,import_state,run_provenance,error_message,raw_payload,startup_name,startup_headquarters_location,round_type,amount_usd,valuation_usd,round_date,lead_investor_name,participating_investor_names,source_url
crunchbase,funding_round,fallback-sample-crunchbase-funding-rounds,pending,fallback,,"{""properties"":{""identifier"":{""value"":""Beacon Hill Robotics Seed"",""permalink"":""beacon-hill-robotics-seed"",""uuid"":""a23952e1-bcd5-58cf-7fac-a2c1c2e0e583"",""entity_def_id"":""funding_round""},""funded_organization_identifier"":{""value"":""Beacon Hill Robotics"",""permalink"":""beacon-hill-robotics"",""uuid"":""9ea9e675-7ef7-ddb4-2ad6-d96f177f3810"",""entity_def_id"":""organization""},""funded_organization_location"":[{""value"":""Boston, MA"",""location_type"":""city"",""permalink"":""boston-ma""}],""investment_type"":""seed"",""money_raised"":{""value"":3200000,""currency"":""USD"",""value_usd"":3200000},""announced_on"":{""value"":""2019-11-12"",""precision"":""day""},""lead_investor_identifiers"":[{""value"":""Emerald Necklace Angels"",""permalink"":""emerald-necklace-angels"",""uuid"":""c36e9309-e2c2-b2fb-29b0-2c836183f5d0"",""entity_def_id"":""organization""}],""investor_identifiers"":[{""value"":""Emerald Necklace Angels"",""permalink"":""emerald-necklace-angels"",""uuid"":""c36e9309-e2c2-b2fb-29b0-2c836183f5d0"",""entity_def_id"":""organization""},{""value"":""Chickatawbut Seed Partners"",""permalink"":""chickatawbut-seed-partners"",""uuid"":""f558c1cc-7cf8-271b-5054-9b305d9a5830"",""entity_def_id"":""organization""}],""pre_money_valuation"":{""value"":14000000,""currency"":""USD"",""value_usd"":14000000},""permalink"":""beacon-hill-robotics-seed""}}",Beacon Hill Robotics,"Boston, MA",Seed,3200000,14000000,2019-11-12,Emerald Necklace Angels,"[""Emerald Necklace Angels"", ""Chickatawbut Seed Partners""]",https://news.example.com/rounds/beacon-hill-robotics-seed
crunchbase,funding_round,fallback-sample-crunchbase-funding-rounds,pending,fallback,,"{""properties"":{""identifier"":{""value"":""Beacon Hill Robotics Series B"",""permalink"":""beacon-hill-robotics-series-b"",""uuid"":""eb5fc621-410b-79d8-a5aa-56f2c98088ae"",""entity_def_id"":""funding_round""},""funded_organization_identifier"":{""value"":""Beacon Hill Robotics"",""permalink"":""beacon-hill-robotics"",""uuid"":""9ea9e675-7ef7-ddb4-2ad6-d96f177f3810"",""entity_def_id"":""organization""},""funded_organization_location"":[{""value"":""Boston, MA"",""location_type"":""city"",""permalink"":""boston-ma""}],""investment_type"":""series_b"",""money_raised"":{""value"":48000000,""currency"":""USD"",""value_usd"":48000000},""announced_on"":{""value"":""2023-02-21"",""precision"":""day""},""lead_investor_identifiers"":[{""value"":""Wompatuck Corporate Ventures"",""permalink"":""wompatuck-corporate-ventures"",""uuid"":""ec38896f-d3b7-dc77-279f-02dcb49c7559"",""entity_def_id"":""organization""}],""investor_identifiers"":[{""value"":""Neponset Valley Ventures"",""permalink"":""neponset-valley-ventures"",""uuid"":""ae1c2003-616b-4fed-6486-02409a7f0242"",""entity_def_id"":""organization""},{""value"":""Emerald Necklace Angels"",""permalink"":""emerald-necklace-angels"",""uuid"":""c36e9309-e2c2-b2fb-29b0-2c836183f5d0"",""entity_def_id"":""organization""},{""value"":""Nahanton Square Accelerator"",""permalink"":""nahanton-square-accelerator"",""uuid"":""8a19517f-af2a-d1cc-9a6c-afc04bcb5034"",""entity_def_id"":""organization""},{""value"":""Wompatuck Corporate Ventures"",""permalink"":""wompatuck-corporate-ventures"",""uuid"":""ec38896f-d3b7-dc77-279f-02dcb49c7559"",""entity_def_id"":""organization""},{""value"":""Chickatawbut Seed Partners"",""permalink"":""chickatawbut-seed-partners"",""uuid"":""f558c1cc-7cf8-271b-5054-9b305d9a5830"",""entity_def_id"":""organization""}],""pre_money_valuation"":{""value"":210000000,""currency"":""USD"",""value_usd"":210000000},""permalink"":""beacon-hill-robotics-series-b""}}",Beacon Hill Robotics,"Boston, MA",Series B,48000000,210000000,2023-02-21,Wompatuck Corporate Ventures,"[""Neponset Valley Ventures"", ""Emerald Necklace Angels"", ""Nahanton Square Accelerator"", ""Wompatuck Corporate Ventures"", ""Chickatawbut Seed Partners""]",https://news.example.com/rounds/beacon-hill-robotics-series-b
crunchbase,funding_round,fallback-sample-crunchbase-funding-rounds,pending,fallback,,"{""properties"":{""identifier"":{""value"":""Seaport Ledger Seed"",""permalink"":""seaport-ledger-seed"",""uuid"":""b147458c-c3e2-3096-4598-10d6ec11f631"",""entity_def_id"":""funding_round""},""funded_organization_identifier"":{""value"":""Seaport Ledger"",""permalink"":""seaport-ledger"",""uuid"":""2fa0220c-acc1-a6ad-709c-271982f31864"",""entity_def_id"":""organization""},""funded_organization_location"":[{""value"":""Seaport, Boston, MA"",""location_type"":""city"",""permalink"":""seaport-boston-ma""}],""investment_type"":""seed"",""announced_on"":{""value"":""2021-09-30"",""precision"":""day""},""lead_investor_identifiers"":[{""value"":""Neponset Valley Ventures"",""permalink"":""neponset-valley-ventures"",""uuid"":""ae1c2003-616b-4fed-6486-02409a7f0242"",""entity_def_id"":""organization""}],""investor_identifiers"":[{""value"":""Emerald Necklace Angels"",""permalink"":""emerald-necklace-angels"",""uuid"":""c36e9309-e2c2-b2fb-29b0-2c836183f5d0"",""entity_def_id"":""organization""}],""permalink"":""seaport-ledger-seed""}}",Seaport Ledger,"Seaport, Boston, MA",Seed,,,2021-09-30,Neponset Valley Ventures,"[""Emerald Necklace Angels""]",https://press.example.org/seaport-ledger-seed
crunchbase,funding_round,fallback-sample-crunchbase-funding-rounds,pending,fallback,,"{""properties"":{""identifier"":{""value"":""Seaport Ledger Series A"",""permalink"":""seaport-ledger-series-a"",""uuid"":""f2a10896-2bd0-7fd6-8ab3-87391639c8e1"",""entity_def_id"":""funding_round""},""funded_organization_identifier"":{""value"":""Seaport Ledger"",""permalink"":""seaport-ledger"",""uuid"":""2fa0220c-acc1-a6ad-709c-271982f31864"",""entity_def_id"":""organization""},""funded_organization_location"":[{""value"":""Seaport, Boston, MA"",""location_type"":""city"",""permalink"":""seaport-boston-ma""}],""investment_type"":""series_a"",""money_raised"":{""value"":16500000,""currency"":""USD"",""value_usd"":16500000},""announced_on"":{""value"":""2023-06-14"",""precision"":""day""},""lead_investor_identifiers"":[{""value"":""Wompatuck Corporate Ventures"",""permalink"":""wompatuck-corporate-ventures"",""uuid"":""ec38896f-d3b7-dc77-279f-02dcb49c7559"",""entity_def_id"":""organization""}],""investor_identifiers"":[{""value"":""Neponset Valley Ventures"",""permalink"":""neponset-valley-ventures"",""uuid"":""ae1c2003-616b-4fed-6486-02409a7f0242"",""entity_def_id"":""organization""},{""value"":""Nahanton Square Accelerator"",""permalink"":""nahanton-square-accelerator"",""uuid"":""8a19517f-af2a-d1cc-9a6c-afc04bcb5034"",""entity_def_id"":""organization""}],""pre_money_valuation"":{""value"":82000000,""currency"":""USD"",""value_usd"":82000000},""permalink"":""seaport-ledger-series-a""}}",Seaport Ledger,"Seaport, Boston, MA",Series A,16500000,82000000,2023-06-14,Wompatuck Corporate Ventures,"[""Neponset Valley Ventures"", ""Nahanton Square Accelerator""]",https://press.example.org/seaport-ledger-series-a
crunchbase,funding_round,fallback-sample-crunchbase-funding-rounds,pending,fallback,,"{""properties"":{""identifier"":{""value"":""Back Bay Biosystems Series C+"",""permalink"":""back-bay-biosystems-series-c"",""uuid"":""5afbc759-9016-e7f9-ecbb-6eaa7b46913b"",""entity_def_id"":""funding_round""},""funded_organization_identifier"":{""value"":""Back Bay Biosystems"",""permalink"":""back-bay-biosystems"",""uuid"":""732fba36-3223-6965-d4e2-6bdd6118008e"",""entity_def_id"":""organization""},""funded_organization_location"":[{""value"":""Boston, MA, USA"",""location_type"":""city"",""permalink"":""boston-ma-usa""}],""investment_type"":""series_c"",""money_raised"":{""value"":84000000,""currency"":""USD"",""value_usd"":84000000},""announced_on"":{""value"":""2024-04-09"",""precision"":""day""},""lead_investor_identifiers"":[{""value"":""Ponkapoag Growth Equity"",""permalink"":""ponkapoag-growth-equity"",""uuid"":""26e75558-17bf-dd20-d9a5-ea86e7f22020"",""entity_def_id"":""organization""}],""investor_identifiers"":[{""value"":""Emerald Necklace Angels"",""permalink"":""emerald-necklace-angels"",""uuid"":""c36e9309-e2c2-b2fb-29b0-2c836183f5d0"",""entity_def_id"":""organization""},{""value"":""Neponset Valley Ventures"",""permalink"":""neponset-valley-ventures"",""uuid"":""ae1c2003-616b-4fed-6486-02409a7f0242"",""entity_def_id"":""organization""},{""value"":""Wompatuck Corporate Ventures"",""permalink"":""wompatuck-corporate-ventures"",""uuid"":""ec38896f-d3b7-dc77-279f-02dcb49c7559"",""entity_def_id"":""organization""},{""value"":""Nahanton Square Accelerator"",""permalink"":""nahanton-square-accelerator"",""uuid"":""8a19517f-af2a-d1cc-9a6c-afc04bcb5034"",""entity_def_id"":""organization""}],""pre_money_valuation"":{""value"":560000000,""currency"":""USD"",""value_usd"":560000000},""permalink"":""back-bay-biosystems-series-c""}}",Back Bay Biosystems,"Boston, MA, USA",Series C+,84000000,560000000,2024-04-09,Ponkapoag Growth Equity,"[""Emerald Necklace Angels"", ""Neponset Valley Ventures"", ""Wompatuck Corporate Ventures"", ""Nahanton Square Accelerator""]",https://news.example.com/rounds/back-bay-biosystems-series-c-plus
crunchbase,funding_round,fallback-sample-crunchbase-funding-rounds,pending,fallback,,"{""properties"":{""identifier"":{""value"":""Fort Point Payments Growth"",""permalink"":""fort-point-payments-growth"",""uuid"":""c56adce8-a6bd-f847-8b40-86c1be262d38"",""entity_def_id"":""funding_round""},""funded_organization_identifier"":{""value"":""Fort Point Payments"",""permalink"":""fort-point-payments"",""uuid"":""9198f25f-3033-21f0-d11c-b6692e2c2fd5"",""entity_def_id"":""organization""},""funded_organization_location"":[{""value"":""Boston, MA"",""location_type"":""city"",""permalink"":""boston-ma""}],""investment_type"":""corporate_round"",""money_raised"":{""value"":120000000,""currency"":""USD"",""value_usd"":120000000},""announced_on"":{""value"":""2025-01-27"",""precision"":""day""},""lead_investor_identifiers"":[{""value"":""Ponkapoag Growth Equity"",""permalink"":""ponkapoag-growth-equity"",""uuid"":""26e75558-17bf-dd20-d9a5-ea86e7f22020"",""entity_def_id"":""organization""}],""investor_identifiers"":[{""value"":""Wompatuck Corporate Ventures"",""permalink"":""wompatuck-corporate-ventures"",""uuid"":""ec38896f-d3b7-dc77-279f-02dcb49c7559"",""entity_def_id"":""organization""},{""value"":""Neponset Valley Ventures"",""permalink"":""neponset-valley-ventures"",""uuid"":""ae1c2003-616b-4fed-6486-02409a7f0242"",""entity_def_id"":""organization""},{""value"":""Emerald Necklace Angels"",""permalink"":""emerald-necklace-angels"",""uuid"":""c36e9309-e2c2-b2fb-29b0-2c836183f5d0"",""entity_def_id"":""organization""}],""permalink"":""fort-point-payments-growth""}}",Fort Point Payments,"Boston, MA",Growth,120000000,,2025-01-27,Ponkapoag Growth Equity,"[""Wompatuck Corporate Ventures"", ""Neponset Valley Ventures"", ""Emerald Necklace Angels""]",https://wire.example.net/fort-point-payments-growth
crunchbase,funding_round,fallback-sample-crunchbase-funding-rounds,pending,fallback,,"{""properties"":{""identifier"":{""value"":""Kendall Cognition Pre-Seed"",""permalink"":""kendall-cognition-pre-seed"",""uuid"":""ef77637b-3910-5b1d-0ba0-372173be6eec"",""entity_def_id"":""funding_round""},""funded_organization_identifier"":{""value"":""Kendall Cognition"",""permalink"":""kendall-cognition"",""uuid"":""3628c869-786e-c26b-a56f-c2f8ca9850cc"",""entity_def_id"":""organization""},""funded_organization_location"":[{""value"":""Kendall Square, Cambridge, MA"",""location_type"":""city"",""permalink"":""kendall-square-cambridge-ma""}],""investment_type"":""pre_seed"",""money_raised"":{""value"":750000,""currency"":""USD"",""value_usd"":750000},""announced_on"":{""value"":""2022-03-15"",""precision"":""day""},""investor_identifiers"":[{""value"":""Chickatawbut Seed Partners"",""permalink"":""chickatawbut-seed-partners"",""uuid"":""f558c1cc-7cf8-271b-5054-9b305d9a5830"",""entity_def_id"":""organization""},{""value"":""Emerald Necklace Angels"",""permalink"":""emerald-necklace-angels"",""uuid"":""c36e9309-e2c2-b2fb-29b0-2c836183f5d0"",""entity_def_id"":""organization""}],""permalink"":""kendall-cognition-pre-seed""}}",Kendall Cognition,"Kendall Square, Cambridge, MA",Pre-Seed,750000,,2022-03-15,,"[""Chickatawbut Seed Partners"", ""Emerald Necklace Angels""]",https://press.example.org/kendall-cognition-pre-seed
crunchbase,funding_round,fallback-sample-crunchbase-funding-rounds,pending,fallback,,"{""properties"":{""identifier"":{""value"":""Copley Grid Systems Series C"",""permalink"":""copley-grid-systems-series-c"",""uuid"":""9aeae91e-ecc2-a7b2-6dd0-5f80812afdc1"",""entity_def_id"":""funding_round""},""funded_organization_identifier"":{""value"":""Copley Grid Systems"",""permalink"":""copley-grid-systems"",""uuid"":""4d3bd204-bf3d-8c03-0898-3a2cbee88a6f"",""entity_def_id"":""organization""},""funded_organization_location"":[{""value"":""BOSTON, MA"",""location_type"":""city"",""permalink"":""boston-ma""}],""investment_type"":""Series C"",""money_raised"":{""value"":62000000,""currency"":""USD"",""value_usd"":62000000},""announced_on"":{""value"":""2024-08-05"",""precision"":""day""},""lead_investor_identifiers"":[{""value"":""Nahanton Square Accelerator"",""permalink"":""nahanton-square-accelerator"",""uuid"":""8a19517f-af2a-d1cc-9a6c-afc04bcb5034"",""entity_def_id"":""organization""}],""investor_identifiers"":[{""value"":""Chickatawbut Seed Partners"",""permalink"":""chickatawbut-seed-partners"",""uuid"":""f558c1cc-7cf8-271b-5054-9b305d9a5830"",""entity_def_id"":""organization""},{""value"":""Nahanton Square Accelerator"",""permalink"":""nahanton-square-accelerator"",""uuid"":""8a19517f-af2a-d1cc-9a6c-afc04bcb5034"",""entity_def_id"":""organization""},{""value"":""Emerald Necklace Angels"",""permalink"":""emerald-necklace-angels"",""uuid"":""c36e9309-e2c2-b2fb-29b0-2c836183f5d0"",""entity_def_id"":""organization""}],""pre_money_valuation"":{""value"":310000000,""currency"":""USD"",""value_usd"":310000000},""permalink"":""copley-grid-systems-series-c""}}",Copley Grid Systems,"BOSTON, MA",Series C,62000000,310000000,2024-08-05,Nahanton Square Accelerator,"[""Chickatawbut Seed Partners"", ""Nahanton Square Accelerator"", ""Emerald Necklace Angels""]",https://wire.example.net/copley-grid-systems-round
crunchbase,funding_round,fallback-sample-crunchbase-funding-rounds,pending,fallback,,"{""properties"":{""identifier"":{""value"":""Muddy River Diagnostics Series A"",""permalink"":""muddy-river-diagnostics-series-a"",""uuid"":""412e1b7f-31ab-d16a-dffe-dd3ab0e358f4"",""entity_def_id"":""funding_round""},""funded_organization_identifier"":{""value"":"" Muddy River Diagnostics"",""permalink"":""muddy-river-diagnostics"",""uuid"":""c9b34b2e-7def-2960-f489-c28c6742373c"",""entity_def_id"":""organization""},""funded_organization_location"":[{""value"":""Providence, RI"",""location_type"":""city"",""permalink"":""providence-ri""}],""investment_type"":""series_a"",""money_raised"":{""value"":21000000,""currency"":""USD"",""value_usd"":21000000},""announced_on"":{""value"":""2022-10-19"",""precision"":""day""},""lead_investor_identifiers"":[{""value"":""Emerald Necklace Angels"",""permalink"":""emerald-necklace-angels"",""uuid"":""c36e9309-e2c2-b2fb-29b0-2c836183f5d0"",""entity_def_id"":""organization""}],""investor_identifiers"":[{""value"":""Neponset Valley Ventures"",""permalink"":""neponset-valley-ventures"",""uuid"":""ae1c2003-616b-4fed-6486-02409a7f0242"",""entity_def_id"":""organization""},{""value"":""Wompatuck Corporate Ventures"",""permalink"":""wompatuck-corporate-ventures"",""uuid"":""ec38896f-d3b7-dc77-279f-02dcb49c7559"",""entity_def_id"":""organization""}],""pre_money_valuation"":{""value"":96000000,""currency"":""USD"",""value_usd"":96000000},""permalink"":""muddy-river-diagnostics-series-a""}}"," Muddy River Diagnostics","Providence, RI",Series A,21000000,96000000,2022-10-19,Emerald Necklace Angels,"[""Neponset Valley Ventures"", ""Wompatuck Corporate Ventures""]",https://news.example.com/rounds/muddy-river-diagnostics-series-a
crunchbase,funding_round,fallback-sample-crunchbase-funding-rounds,pending,fallback,,"{""properties"":{""identifier"":{""value"":""Neponset Analytics Labs Series B"",""permalink"":""neponset-analytics-labs-series-b"",""uuid"":""b1b2c4da-3f45-606d-1f1e-c7f842250e9b"",""entity_def_id"":""funding_round""},""funded_organization_identifier"":{""value"":""Neponset Analytics Labs"",""permalink"":""neponset-analytics-labs"",""uuid"":""81fe077c-ed29-8bd8-8996-08abae4dbd2c"",""entity_def_id"":""organization""},""funded_organization_location"":[{""value"":""Cambridge, MA"",""location_type"":""city"",""permalink"":""cambridge-ma""}],""investment_type"":""series_b"",""money_raised"":{""value"":38500000,""currency"":""USD"",""value_usd"":38500000},""announced_on"":{""value"":""2024-11-06"",""precision"":""day""},""lead_investor_identifiers"":[{""value"":""Wompatuck Corporate Ventures"",""permalink"":""wompatuck-corporate-ventures"",""uuid"":""ec38896f-d3b7-dc77-279f-02dcb49c7559"",""entity_def_id"":""organization""}],""investor_identifiers"":[{""value"":""Emerald Necklace Angels"",""permalink"":""emerald-necklace-angels"",""uuid"":""c36e9309-e2c2-b2fb-29b0-2c836183f5d0"",""entity_def_id"":""organization""},{""value"":""Nahanton Square Accelerator"",""permalink"":""nahanton-square-accelerator"",""uuid"":""8a19517f-af2a-d1cc-9a6c-afc04bcb5034"",""entity_def_id"":""organization""}],""pre_money_valuation"":{""value"":190000000,""currency"":""USD"",""value_usd"":190000000},""permalink"":""neponset-analytics-labs-series-b""}}",Neponset Analytics Labs,"Cambridge, MA",Series B,38500000,190000000,2024-11-06,"Wompatuck Corporate Ventures ","[""Emerald Necklace Angels"", ""Nahanton Square Accelerator""]",
